Sembol	Piyasa Değeri	Defter Değeri	Toplam Hisse Sayısı	Net Kar (Son 4Ç)	EPS
BINHO	13829750000.00	13674236275.00	47000000.00	-572229685.00	-12.00
BIOEN	8445000000.00	3900843909.00	500000000.00	833693805.00	2.00
BIZIM	2283910980.12	1621157712.00	80476074.00	-1060001265.00	-13.00
BJKAS	5148000000.00	-2431161733.00	1200000000.00	6574304.00	0.00
BLCYT	1752000000.00	2701632923.00	100000000.00	218518713.00	2.00
BMSCH	1358239400.00	886031712.00	36085000.00	-85681180.00	-2.00
BMSTL	4221000000.00	1093122593.00	150000000.00	-78097532.00	-0.52
BNTAS	1394409375.00	972347300.00	120937500.00	310242388.00	3.00
BOBET	8185200000.00	5821920442.00	380000000.00	1195580576.00	3.00
BORLS	8620570000.00	3077721629.00	168700000.00	-269636673.00	-2.00
BORSK	5448000000.00	4708589219.00	240000000.00	772167669.00	3.00
BOSSA	10985000000.00	7211504215.00	1300000000.00	738852094.00	0.57
BRISA	28665730406.25	17498211104.00	305116875.00	3695125621.00	12.00
BRKO	1072400000.00	1341861587.00	140000000.00	-457580191.00	-3.00
BRKSN	723216000.00	516775843.00	31200000.00	62918770.00	2.00
BRKVY	2756320000.00	918619000.00	56000000.00	260374000.00	5.00
BRLSM	3382400000.00	916632279.00	224000000.00	-412154760.00	-2.00
BRMEN	303017474.76	17386481.00	44627021.32	-24861783.00	-0.56
BRSAN	65736562500.00	29875122000.00	141750000.00	1321383000.00	9.00
BRYAT	61621875000.00	26421169720.00	28125000.00	1698534558.00	60.00
BSOKE	22040000000.00	6630577000.00	400000000.00	1777081000.00	4.00
BTCIM	25452000000.00	15305973000.00	180000000.00	3344701000.00	19.00
BUCIM	10905000000.00	12331336397.00	1500000000.00	3349611877.00	2.00
BURCE	1753876800.00	851002512.00	84240000.00	113154452.00	1.00
BURVA	916254698.40	91856212.00	7347672.00	31943023.00	4.00
BVSAN	3449800000.00	1563412956.00	37600000.00	388357536.00	10.00
BYDNR	1701840000.00	1364182523.00	84000000.00	-47157349.00	-0.56
CANTE	10640000000.00	21189804486.00	7000000000.00	-1428996072.00	-0.20
CASA	412580000.00	227721498.00	4900000.00	201960587.00	41.00
CATES	5920768000.00	11152725492.00	165200000.00	273813842.00	2.00
CCOLA	148018358045.80	53518542000.00	2798078602.00	20185028000.00	7.00
CELHA	2297494081.14	1012475087.00	101033161.00	-189067990.00	-2.00
CEMAS	2602390000.00	3667771273.00	791000000.00	-365494810.00	-0.46
CEMTS	4450000000.00	4895769621.00	500000000.00	150606077.00	0.30
CEMZY	4168740000.00	3374594187.00	402000000.00	97250272.00	0.24
CEOEM	1259280000.00	311522959.00	44000000.00	43075032.00	0.98
CIMSA	36783493556.60	24895929000.00	945591094.00	4605060000.00	5.00
CLEBI	51491700000.00	6307468062.00	24300000.00	2920652243.00	120.00
CMBTN	5239200000.00	486815697.00	1770000.00	76896992.00	43.00
CMENT	36064559764.80	10923918000.00	87112463.20	926560000.00	11.00
CONSE	2058570000.00	1657441152.00	771000000.00	204786438.00	0.27
COSMO	730653075.00	60621750.00	6494694.00	20888847.00	3.00
CRDFA	785000000.00	491915389.00	100000000.00	124531685.00	1.00
CRFSA	12930705090.86	5112665000.00	127773765.72	-1251963000.00	-10.00
CUSAN	1484850000.00	943821903.00	71250000.00	-99465843.00	-1.00
CVKMD	12558000000.00	5597422962.00	42000000.00	643466302.00	15.00
CWENE	25170750000.00	8255462089.00	123750000.00	183210280.00	1.00
DAGHL	489300000.00	29189898.00	30000000.00	-55246747.00	-2.00
DAGI	1779630000.00	1357039452.00	129900000.00	19422433.00	0.15
DAPGM	15370000000.00	9839869250.00	2650000000.00	2468372142.00	0.93
DARDL	3035994285.94	4756376424.00	586099283.00	147787320.00	0.25
DCTTR	3122600000.00	694537945.00	130000000.00	32597985.00	0.25
DENGE	807000000.00	1469809774.00	300000000.00	265785728.00	0.89
DERHL	2245061455.74	1262371223.00	197281323.00	136705553.00	0.69
DERIM	1756080000.00	354806435.00	54000000.00	77205142.00	1.00
DESA	5189100000.00	2499610238.00	245000000.00	657403367.00	3.00
DESPC	1086520000.00	319525265.00	23000000.00	-15371395.00	-0.67
DEVA	14031353037.77	19785044612.00	200019287.78	4367787682.00	22.00
DGATE	1254000000.00	231685610.00	30000000.00	-106589416.00	-4.00
DGGYO	13585758603.12	10131364655.00	332007786.00	2849152450.00	9.00
DGNMO	2842000000.00	2895671689.00	350000000.00	8715127.00	0.02
DIRIT	274131000.00	330108452.00	10650000.00	74135181.00	7.00
DITAS	1298800000.00	292076555.00	85000000.00	-173338185.00	-2.00
DMRGD	2212482000.00	1500537692.00	185300000.00	118818295.00	0.64
DMSAS	1256000000.00	1129357412.00	200000000.00	214347925.00	1.00
DNISI	2770508812.50	1031439082.00	119728125.00	10847881.00	0.09
DOAS	45870000000.00	51160445000.00	220000000.00	10428070000.00	47.00
DOBUR	3225307957.50	12310789.00	19559175.00	-27293128.00	-1.00
DOCO	66642131415.00		10983458.00		
DOFER	1645740000.00	949382039.00	55750000.00	-130923573.00	-2.00
DOGUB	819780000.00	94572129.00	39000000.00	-26780919.00	-0.69
DOHOL	36742625117.64	60911633000.00	2616996091.00	3311734000.00	1.00
DOKTA	7737120000.00	4833739416.00	324000000.00	126516599.00	0.39
DURDO	2500000000.00	1309563886.00	100000000.00	-7682562.00	-0.08
DURKN	1877525000.00	1596283399.00	132500000.00	164107608.00	1.00
DYOBY	6972000000.00	4975942553.00	300000000.00	626751490.00	2.00
DZGYO	4380000000.00	3503152092.00	400000000.00	-94920287.00	-0.24
EBEBK	8144000000.00	3605913607.00	160000000.00	51557921.00	0.32
ECILC	32248335600.00	47390054000.00	685260000.00	3857204000.00	6.00
ECZYT	21325500000.00	22137897074.00	105000000.00	1332943978.00	13.00
EDATA	1861650000.00	677296250.00	135000000.00	10946467.00	0.08
EDIP	1566500000.00	3952793763.00	65000000.00	1709442992.00	26.00
EFORC	15224220000.00	3585771144.00	363000000.00	386521692.00	1.00
EGEEN	34193250000.00	5717088094.00	3150000.00	890027089.00	283.00
EGEPO	2912500000.00	1375715055.00	125000000.00	-203799880.00	-2.00
EGGUB	5730000000.00	5721989252.00	100000000.00	769081571.00	8.00
EGPRO	12430551851.37	5642376356.00	80980793.82	625056673.00	8.00
EGSER	2721600000.00	2445081473.00	720000000.00	-357947581.00	-0.50
EKGYO	45980000000.00	81126855000.00	3800000000.00	3698059000.00	0.97
EKIZ	554282859.00	270211165.00	9284470.00	79150133.00	9.00
EKOS	7005600000.00	2589845178.00	280000000.00	156922533.00	0.56
EKSUN	3450000000.00	2072586456.00	600000000.00	-597192793.00	-1.00
ELITE	4694112000.00	1338766031.00	129600000.00	239654896.00	2.00
EMKEL	2074500000.00	804363825.00	150000000.00	63304073.00	0.42
EMNIS	1543180000.00	171687021.00	6200000.00	17094877.00	3.00
ENERY	40128750000.00	23679655397.00	145000000.00	7406061637.00	51.00
ENJSA	70627924233.78	70208555000.00	1181068967.12	-5384597000.00	-5.00
ENKAI	310200000000.00	262136705000.00	6000000000.00	24303457000.00	4.00
ENSRI	2247232000.00	933765160.00	116800000.00	219399453.00	2.00
ENTRA	14593950000.00	27417720000.00	1845000000.00	3590315000.00	2.00
EPLAS	1189438991.52	2492305297.00	190615223.00	-38204910.00	-0.20
ERBOS	3594000000.00	2537066244.00	20000000.00	-111636206.00	-6.00
ERCB	7341533406.40	3478360707.00	77770481.00	111207966.00	1.00
EREGL	174860000000.00	226028404000.00	7000000000.00	18687988000.00	3.00
ERSU	713160000.00	371476016.00	36000000.00	8406500.00	0.23
ESCAR	23403300000.00	5819655408.00	54300000.00	1385468662.00	26.00
ESCOM	2717070635.00	1810691483.00	49992100.00	424631328.00	8.00
ESEN	5371600000.00	9647763058.00	260000000.00	1002566694.00	4.00
ETILR	2020000000.00	223750229.00	40000000.00	-11774607.00	-0.29
ETYAT	230200000.00	66603085.00	20000000.00	-12327914.00	-0.62
EUHOL	1090500000.00	329827356.00	150000000.00	-328813937.00	-2.00
EUKYO	254400000.00	73653959.00	20000000.00	-10875449.00	-0.54
EUPWR	22400400000.00	7042877000.00	660000000.00	656170000.00	0.99
EUREN	8413200000.00	6427066512.00	760000000.00	712252347.00	0.94
EUYO	202800000.00	71898450.00	20000000.00	-10347177.00	-0.52
EYGYO	1498000000.00	1767787695.00	200000000.00	-47728265.00	-0.24
FADE	1325541000.00	1424743605.00	83895000.00	228198851.00	3.00
FENER	10026674000.00	-616355109.00	98980000.00	-327776755.00	-3.00
FLAP	812812500.00	716315682.00	93750000.00	219321285.00	2.00
FMIZP	4372266937.50	431718096.00	14276790.00	92302791.00	6.00
FONET	2491200000.00	1003139346.00	144000000.00	286402798.00	2.00
FORMT	3433275473.76	1103123270.00	538130952.00	-171321707.00	-0.32
FORTE	3264240000.00	673190502.00	67000000.00	-94645698.00	-1.00
FRIGO	1195943121.75	1041424396.00	147102475.00	145056290.00	0.99
FROTO	343014525000.00	101378034000.00	350910000.00	51069612000.00	146.00
FZLGY	7371240000.00	3278420632.00	318000000.00	-370170876.00	-1.00
GARAN	506520000000.00	302647610000.00	4200000000.00	96688221000.00	23.00
GARFA	7862550000.00	2814112000.00	397500000.00	1330104000.00	3.00
GEDIK	7520000000.00	2906310525.00	1000000000.00	338542323.00	0.34
GEDZA	929387520.00	765475926.00	46656000.00	75891968.00	2.00
GENIL	32130000000.00	6400278929.00	300000000.00	721558603.00	2.00
GENTS	2541000000.00	2412560638.00	300000000.00	224673734.00	0.75
GEREL	2172000000.00	887387617.00	240000000.00	-105029890.00	-0.44
GESAN	21666000000.00	9212767000.00	460000000.00	1136900000.00	2.00
GIPTA	4147440000.00	2341285157.00	132000000.00	131542646.00	1.00
GLBMD	1528100000.00	484588422.00	118000000.00	195084130.00	2.00
GLCVY	6303264000.00	2376284000.00	139700000.00	1208141000.00	9.00
GLRYH	1407600000.00	3227795955.00	120000000.00	508783533.00	4.00
GLYHO	10263500000.00	7174345741.00	650000000.00	3231393011.00	5.00
GMTAS	1508412000.00	2412658346.00	149200000.00	386145869.00	3.00
GOKNR	9555000000.00	6571779546.00	350000000.00	602379968.00	2.00
GOLTS	8761500000.00	7560970417.00	18000000.00	2222055455.00	123.00
GOODY	4355100000.00	3535817023.00	270000000.00	-1251670592.00	-5.00
GOZDE	10025400000.00	26297660610.00	385000000.00	-6880326357.00	-18.00
GRNYO	350250000.00	80616143.00	37500000.00	-11724638.00	-0.31
GRSEL	18125400000.00	5383225215.00	102000000.00	1777429647.00	17.00
GRTHO	17725000000.00	4133150183.00	125000000.00	923518306.00	7.00
GSDDE	1209000000.00	2105579000.00	150000000.00	-78513000.00	-0.52
GSDHO	3900000000.00	8719505000.00	1000000000.00	-928207000.00	-0.93
GSRAY	7635600000.00	687616371.00	1080000000.00	1772493181.00	2.00
GUBRF	78189400000.00	15663463625.00	334000000.00	-164129565.00	-0.49
GUNDG	1761240000.00	642908217.00	39000000.00	-5113429.00	-0.13
GWIND	14007600000.00	9660390127.00	540000000.00	993179271.00	2.00
GZNMI	4046250000.00	1107582329.00	65000000.00	211963973.00	3.00
HALKB	116680795401.48	137956557000.00	7184778041.96	13279351000.00	2.00
HATEK	762930000.00	1491196721.00	63000000.00	-207533422.00	-3.00
HATSN	10295320000.00	4296665923.00	221500000.00	1437065877.00	6.00
HDFGS	841850000.00	1788518358.00	565000000.00	-173892348.00	-0.31
HEDEF	5756250000.00	2605930677.00	1875000000.00	-1419164677.00	-0.76
HEKTS	34057200000.00	7876629434.00	8430000000.00	-3311728723.00	-0.39
HKTM	1609650000.00	533423497.00	105000000.00	-45386904.00	-0.43
HLGYO	9457600000.00	30290874288.00	3680000000.00	492981303.00	0.13
HOROZ	5307126126.60	2876661685.00	90488084.00	779691587.00	9.00
HRKET	8328960000.00	6494902710.00	115200000.00	1889162078.00	16.00
HTTBT	10566000000.00	1939155050.00	300000000.00	237649970.00	0.79
HUBVC	704200000.00	581060868.00	70000000.00	-56771417.00	-0.81
HUNER	3190000000.00	3958391740.00	1000000000.00	25311060.00	0.02
HURGZ	2450880000.00	2580943297.00	592000000.00	-711568103.00	-1.00
ICBCT	12083000000.00	4322932000.00	860000000.00	-348255000.00	-0.40
ICUGS	1911250000.00	405640833.00	69500000.00	-28352476.00	-0.41
IDGYO	405000000.00	285225957.00	150000000.00	-140026154.00	-0.93
IEYHO	6626431988.07	2511738303.00	543595733.23	255856893.00	0.47
IHAAS	3243700000.00	298087573.00	163000000.00	-84001432.00	-0.52
IHEVA	995420000.00	1347537093.00	350500000.00	-93104800.00	-0.27
IHGZT	1312000000.00	2445106863.00	800000000.00	-835335895.00	-1.00
IHLAS	5400000000.00	4716009998.00	1500000000.00	2561759254.00	2.00
IHLGM	2160000000.00	956275460.00	1000000000.00	-837900028.00	-0.84
IHYAY	2182500000.00	704449950.00	450000000.00	-462154075.00	-1.00
IMASM	2691750000.00	1440309000.00	925000000.00	353563000.00	0.38
INDES	5062500000.00	4343825948.00	750000000.00	786846724.00	1.00
INFO	2160756000.00	1766103328.00	960336000.00	326392451.00	0.34
INGRM	10542000000.00	1649934292.00	24000000.00	33294691.00	1.00
INTEK	3840000000.00	216212107.00	8000000.00	129201789.00	16.00
INTEM	4412880000.00	692359751.00	19440000.00	-9473238.00	-0.49
INVEO	7550000000.00	6676715812.00	1000000000.00	-3905926048.00	-4.00
INVES	60703125000.00	21358895436.00	187500000.00	2312209324.00	12.00
IPEKE	13781624032.27	8557033000.00	259785561.40	613764000.00	2.00
ISATR	5500000000.00	290553575000.00	1000.00	54904045000.00	54904045.00
ISBIR	3426548832.00	4685276992.00	32387040.00	704660074.00	22.00
ISBTR	15805000000.00	290553575000.00	29000.00	54904045000.00	1893243.00
ISCTR	337999594400.00	290553575000.00	24999970000.00	54904045000.00	2.00
ISDMR	106836000000.00	106591510000.00	2900000000.00	14322655000.00	5.00
ISFIN	7787389624.00	8621424000.00	695302645.00	1736816000.00	2.00
ISGSY	2224643904.00	3708152759.00	74652480.00	1467531191.00	20.00
ISGYO	18666862500.00	39155560214.00	958750000.00	2944663589.00	3.00
ISKPL	4115713928.45	1714876971.00	212918465.00	332622233.00	2.00
ISKUR	14748000000.00	290553575000.00	2458.00	54904045000.00	22336878.00
ISMEN	61590000000.00	23412274000.00	1500000000.00	4907155000.00	3.00
ISSEN	3917193371.64	4312577475.00	424397981.76	-76702596.00	-0.18
ISYAT	1394001785.12	480837348.00	160599284.00	-18052615.00	-0.11
IZENR	12144000000.00	12578469348.00	575000000.00	235717450.00	0.41
IZFAS	3511265625.00	164635984.00	59062500.00	-2606549.00	-0.04
IZINV	810826712.80	319062568.00	17512456.00	10523540.00	0.60
IZMDC	7950000000.00	17415016234.00	1500000000.00	-1302286813.00	-0.87
JANTS	18816000000.00	4683005090.00	700000000.00	450208013.00	0.64
KAPLM	4006000000.00	804437847.00	20000000.00	-43848325.00	-2.00
KAREL	7309381760.28	2376047493.00	805885530.35	-486555279.00	-0.60
KARSN	11412000000.00	4614474000.00	900000000.00	-1250463000.00	-1.00
KARTN	6378750000.00	2604868916.00	75000000.00	-399637775.00	-5.00
KARYE	1494900000.00	2419646156.00	55000000.00	190575458.00	3.00
KATMR	2250146250.00	4460894589.00	1076625000.00	-1142349623.00	-1.00
KAYSE	13872900000.00	28291046432.00	706000000.00	1148266615.00	2.00
KBORU	8065000000.00	2677658764.00	100000000.00	517393741.00	5.00
KCAER	27556850000.00	9657813085.00	1915000000.00	603313923.00	0.32
KCHOL	506672430390.00	509735000000.00	2535898050.00	43360000000.00	17.00
KENT	182710000000.00	5791232329.00	220000000.00	298255690.00	1.00
KERVN	1271170972.80	1584460288.00	588505080.00	-563534870.00	-0.96
KERVT	9546040000.00	9940535245.00	662000000.00	1460015139.00	2.00
