Sembol	Piyasa Değeri	Defter Değeri	Toplam Hisse Sayısı	Net Kar (Son 4Ç)	EPS
MOGAN	24449882160.00	53365981729.00	2440108000.00	-1540324867.00	-0.63
MPARK	74064981325.50	20506530000.00	191012202.00	6955732000.00	36.00
MRGYO	1794474000.00	9199733979.00	376200000.00	1671255743.00	4.00
MRSHL	18283244842.00	941303058.00	10994134.00	-128710277.00	-12.00
MSGYO	1950208787.80	4126738908.00	134219462.34	1088175260.00	8.00
MTRKS	1890405000.00	478168713.00	100500000.00	166375793.00	2.00
MTRYO	286860000.00	349388684.00	42000000.00	-42818154.00	-1.00
MZHLD	762084180.00	39544519.00	108559000.00	-136712225.00	-1.00
NATEN	8147700000.00	6677542178.00	165000000.00	941904902.00	6.00
NETAS	4667022360.00	14481250.00	64864800.00	-145656577.00	-2.00
NIBAS	1010880000.00	597402654.00	54000000.00	102116272.00	2.00
NTGAZ	4098600000.00	2967365528.00	690000000.00	240138209.00	0.35
NTHOL	23050000000.00	47262519000.00	500000000.00	4515679000.00	9.00
NUGYO	2642542240.00	4255683377.00	335348000.00	1107805070.00	3.00
NUHCM	47467497600.00	18002803829.00	150213600.00	2266165748.00	15.00
OBAMS	20250775100.16	8971977577.00	479421759.00	2326152166.00	5.00
OBASE	1422330000.00	509254987.00	45500000.00	-7517134.00	-0.16
ODAS	8708000000.00	12055937578.00	1400000000.00	-4000926349.00	-3.00
ODINE	13204750000.00	1452935305.00	110500000.00	248094698.00	2.00
OFSYM	5806125000.00	2528796308.00	146250000.00	317246851.00	2.00
ONCSM	2399310000.00	263882542.00	23850000.00	-60397956.00	-3.00
ONRYT	4743665000.00	1908256111.00	62830000.00	54524974.00	0.87
ORCAY	733600000.00	436259803.00	80000000.00	-78182100.00	-0.98
ORGE	6856000000.00	2157182454.00	80000000.00	661567109.00	8.00
ORMA	5440000000.00	5047099889.00	27200000.00	943386750.00	35.00
OSMEN	3684000000.00	2008376041.00	400000000.00	410749838.00	1.00
OSTIM	1303412884.20	1658746249.00	157417015.00	607963826.00	4.00
OTKAR	57420000000.00	8295355000.00	120000000.00	408526000.00	3.00
OTTO	4283493621.00	430724565.00	7635461.00	27428265.00	4.00
OYAKC	87073501659.10	41523360573.00	1246578406.00	8232333627.00	7.00
OYAYO	520800000.00	110037659.00	20000000.00	-21252401.00	-1.00
OYLUM	699550000.00	696264245.00	85000000.00	128403688.00	2.00
OYYAT	10416000000.00	6598259330.00	300000000.00	1965422005.00	7.00
OZATD	6143235000.00	3227381548.00	71350000.00	35709780.00	0.50
OZGYO	1370000000.00	4996947152.00	250000000.00	-57373066.00	-0.23
OZKGY	18141760000.00	48193868723.00	1456000000.00	2509218125.00	2.00
OZRDN	649005000.00	309442704.00	73500000.00	30735243.00	0.42
OZSUB	1920000000.00	627481390.00	60000000.00	51342017.00	0.86
OZYSR	2687328000.00	2357106752.00	103200000.00	145756892.00	1.00
PAGYO	5720250000.00	10285242813.00	87000000.00	3826527095.00	44.00
PAMEL	2852996619.25	943601239.00	31095331.00	45340082.00	1.00
PAPIL	2654437500.00	396195307.00	206250000.00	-16136179.00	-0.08
PARSN	6797422800.00	8545516079.00	77112000.00	125730844.00	2.00
PASEU	17512320000.00	1656929511.00	672000000.00	446040191.00	0.66
PATEK	11651300000.00	730357155.00	134000000.00	-17543419.00	-0.13
PCILT	2033253000.00	1273822414.00	118350000.00	332029001.00	3.00
PEHOL	1676505600.00	1968593833.00	997920000.00	589560651.00	0.59
PEKGY	2893681787.00	3359182764.00	669833746.99	1662305184.00	2.00
PENGD	1162000000.00	3235652831.00	175000000.00	-314013743.00	-2.00
PENTA	5808296160.00	3189773161.00	393516000.00	344532749.00	0.88
PETKM	46430208000.00	61869169000.00	2534400000.00	19454392000.00	8.00
PETUN	3218490450.00	6185524533.00	303345000.00	695246049.00	2.00
PGSUS	109950000000.00	75387121101.00	500000000.00	23181643035.00	46.00
PINSU	1856401458.50	1582461038.00	284288125.34	255994512.00	0.90
PKART	1384337500.00	327833983.00	22750000.00	62464810.00	3.00
PKENT	5815203840.00	1071801131.00	24883200.00	364587759.00	15.00
PLTUR	6500560000.00	5637743802.00	244750000.00	656882387.00	3.00
PNLSN	2959500000.00	1723437152.00	75000000.00	165406620.00	2.00
PNSUT	3152866734.68	8087620970.00	314657358.75	-525308443.00	-2.00
POLHO	7949080000.00	14715517083.00	758500000.00	745800929.00	0.98
POLTK	28621875000.00	244691040.00	3750000.00	-47304190.00	-13.00
PRDGS	1136800000.00	1286039111.00	196000000.00	-56904279.00	-0.29
PRKAB	6354630676.64	870110650.00	216733652.00	-489041847.00	-2.00
PRKME	2634950201.10	3565927810.00	148867243.00	376569197.00	3.00
PRZMA	683280000.00	308782875.00	72000000.00	61864782.00	0.86
PSDTC	570982500.00	123066482.00	7425000.00	21946508.00	3.00
PSGYO	7392000000.00	20327529739.00	4800000000.00	2984340068.00	0.62
QNBFL	91800000000.00	3174195000.00	1000000000.00	919916000.00	0.92
QNBTR	904500000000.00	107796292000.00	3350000000.00	35764544000.00	11.00
QUAGR	7260000000.00	7998508815.00	2640000000.00	-2019608571.00	-0.76
RALYH	17734500000.00	2542122674.00	63000000.00	1355275037.00	22.00
RAYSG	77621251456.00	3593096403.00	163069856.00	1707074258.00	10.00
REEDR	14335500000.00	5653650486.00	950000000.00	-307433711.00	-0.32
RGYAS	39653800000.00	89158980000.00	331000000.00	24450458000.00	74.00
RNPOL	779400000.00	798344149.00	30000000.00	27290638.00	0.91
RODRG	608176400.00	56102918.00	28340000.00	-18344805.00	-0.65
ROYAL	408000000.00	630712241.00	60000000.00	197265438.00	3.00
RTALB	1561000000.00	1547563090.00	100000000.00	-267789789.00	-3.00
RUBNS	2251390000.00	2921504359.00	74500000.00	53175134.00	0.71
RYGYO	30060000000.00	42817272511.00	2000000000.00	10052999329.00	5.00
RYSAS	37020000000.00	5333204018.00	2000000000.00	11118126383.00	6.00
SAFKR	2294775000.00	705791850.00	35250000.00	151678633.00	4.00
SAHOL	193339607963.02	274743101000.00	2100375969.18	7084960000.00	3.00
SAMAT	730902000.00	272912965.00	36600000.00	13721881.00	0.38
SANEL	462590138.22	17748629.00	18255333.00	-19850332.00	-1.00
SANFM	5439000000.00	402290778.00	150000000.00	90267879.00	0.60
SANKO	3726000000.00	1967299971.00	150000000.00	599063815.00	4.00
SARKY	11532000000.00	8592423896.00	600000000.00	1265879142.00	2.00
SASA	181776474368.16	108883761000.00	43280112944.80	33215218000.00	0.77
SAYAS	3354195000.00	821774388.00	77250000.00	65282549.00	0.84
SDTTR	13287800000.00	1777661385.00	58000000.00	398647804.00	7.00
SEGMN	3279280000.00	2889839017.00	179000000.00	40803796.00	0.23
SEGYO	3563372139.54	6250043178.00	813555283.00	95689183.00	0.12
SEKFK	777000000.00	608219000.00	100000000.00	160916000.00	2.00
SEKUR	653150400.00	348068485.00	48597500.00	-14491790.00	-0.30
SELEC	48934800000.00	20817007361.00	621000000.00	1331844072.00	2.00
SELGD	1011120000.00	130527249.00	22000000.00	45773607.00	2.00
SELVA	819000000.00	1614488000.00	78000000.00	435791000.00	6.00
SEYKM	772000000.00	397346715.00	200000000.00	-40131790.00	-0.20
SILVR	935100000.00	1349784098.00	45000000.00	211108477.00	5.00
SISE	123447526463.65	178510909000.00	3063214056.17	18472275000.00	6.00
SKBNK	11750000000.00	9928803000.00	2500000000.00	2472215000.00	0.99
SKTAS	1005660000.00	2068904808.00	222000000.00	14143044.00	0.06
SKYLP	816525000.00	195816987.00	9500000.00	-24898087.00	-3.00
SKYMD	1698800000.00	905579150.00	155000000.00	83951463.00	0.54
SMART	939943750.00	349375090.00	31862500.00	38016975.00	1.00
SMRTG	23411203200.00	3228507135.00	605880000.00	823089044.00	1.00
SNGYO	13815000000.00	35122957848.00	1500000000.00	1164056136.00	0.78
SNICA	3132000000.00	3509714890.00	600000000.00	649779547.00	1.00
SNKRN	369069666.12	76938399.00	7849206.00	-8881976.00	-1.00
SNPAM	7806500000.00	1539565731.00	130000000.00	29688675.00	0.23
SODSN	1542000000.00	147587382.00	15000000.00	-23767684.00	-2.00
SOKE	5210020000.00	3021483276.00	386500000.00	-214357352.00	-0.56
SOKM	24016379523.84	27440007902.00	593290008.00	-338150574.00	-0.57
SONME	5927400000.00	1116626159.00	74000000.00	27179330.00	0.37
SRVGY	14976000000.00	18011310349.00	52000000.00	5326206655.00	102.00
SUMAS	2075837400.00	322771262.00	6224400.00	-72023002.00	-12.00
SUNTK	14238000000.00	4807190392.00	474600000.00	832489194.00	2.00
SURGY	6957950000.00	6642238262.00	167500000.00	530560971.00	3.00
SUWEN	6504960000.00	1233674891.00	224000000.00	249325256.00	1.00
TABGD	36816042800.00	14630245084.00	261292000.00	1757776941.00	7.00
TARKM	9392250000.00	1938388724.00	21000000.00	937357.00	0.04
TATEN	10417770000.00	3629485541.00	280500000.00	934287483.00	3.00
TATGD	3092640000.00	2720761891.00	136000000.00	-939874986.00	-7.00
TAVHL	101991210937.50	60735389000.00	363281250.00	8786529000.00	24.00
TBORG	41539062986.40	15804873000.00	322508253.00	2814341000.00	9.00
TCELL	202730000000.00	174478880000.00	2200000000.00	43317138000.00	20.00
TCKRC	4953800000.00	3018051557.00	170000000.00	321152941.00	2.00
TDGYO	786600000.00	270627771.00	69000000.00	-41444188.00	-0.60
TEKTU	1413000000.00	4774260450.00	300000000.00	128670530.00	0.43
TERA	4564350000.00	903548340.00	157500000.00	-53886798.00	-0.34
TEZOL	7414000000.00	4526262761.00	440000000.00	-22088564.00	-0.05
TGSAS	844500000.00	286682156.00	15000000.00	54723622.00	4.00
THYAO	395025000000.00	618586000000.00	1380000000.00	182326000000.00	132.00
TKFEN	29341000000.00	28992979000.00	370000000.00	1261404000.00	3.00
TKNSA	5837040000.00	2392209000.00	201000000.00	-1007621000.00	-5.00
TLMAN	2003400000.00	1165331275.00	21000000.00	393425077.00	19.00
TMPOL	1006425000.00	628791380.00	14175000.00	39141568.00	3.00
TMSN	13121500000.00	6308839362.00	115000000.00	675468231.00	6.00
TNZTP	8249600000.00	5140424990.00	128000000.00	2161258755.00	17.00
TOASO	101650000000.00	44116691000.00	500000000.00	12025818000.00	24.00
TRCAS	6037272000.00	9937248655.00	255600000.00	1397889146.00	5.00
TRGYO	55300000000.00	93642456000.00	1000000000.00	10702538000.00	11.00
TRILC	3067822800.00	1741869447.00	161805000.00	293487041.00	2.00
TSGYO	5934500000.00	4717639666.00	650000000.00	250208404.00	0.38
TSKB	35308000000.00	29216685000.00	2800000000.00	9048716000.00	3.00
TSPOR	7050000000.00	166886932.00	7500000000.00	-1015642060.00	-0.14
TTKOM	162190000000.00	135063972000.00	3500000000.00	25673092000.00	7.00
TTRAK	76000791562.50	18516588740.00	100066875.00	9693483034.00	97.00
TUCLK	1846800000.00	2196539535.00	180000000.00	483912498.00	3.00
TUKAS	10262000700.00	10525172379.00	1472310000.00	1324449435.00	0.90
TUPRS	283816991585.40	241708614000.00	1926795598.00	62959660000.00	33.00
TUREX	13154400000.00	5123548000.00	108000000.00	524703000.00	5.00
TURGG	3674279063.76	1426749817.00	7120695.86	275774654.00	39.00
TURSG	64800000000.00	24074918416.00	5000000000.00	10693426436.00	2.00
UFUK	23423440500.00	1634451796.00	46846881.00	100426522.00	2.00
ULAS	823397757.00	276886385.00	25382175.00	15860054.00	0.62
ULKER	41137330247.00	27015414000.00	369275855.00	6004088000.00	16.00
ULUFA	2034540000.00	1459276000.00	133500000.00	881498000.00	7.00
ULUSE	14984000000.00	839323759.00	80000000.00	-256687726.00	-3.00
ULUUN	4680000000.00	8897048453.00	750000000.00	12100774.00	0.02
UMPAS	390600000.00	813453855.00	42000000.00	-1015001.00	-0.02
UNLU	2577750000.00	2106716344.00	175000000.00	82313431.00	0.47
USAK	2704800000.00	2996065135.00	245000000.00	336474346.00	1.00
VAKBN	230247697753.33	201165939000.00	9915921522.54	37236892000.00	4.00
VAKFN	5845000000.00	5242785000.00	3500000000.00	1698455000.00	0.48
VAKKO	14544000000.00	7170997099.00	160000000.00	2009051741.00	13.00
VANGD	497500000.00	187208876.00	25000000.00	-28676411.00	-1.00
VBTYZ	3095820000.00	733406628.00	117000000.00	160921847.00	1.00
VERTU	2042560000.00	3619541443.00	52000000.00	-1240086026.00	-24.00
VERUS	21140000000.00	3526819644.00	70000000.00	687986693.00	10.00
VESBE	27120000000.00	28499060000.00	1600000000.00	1590225000.00	0.99
VESTL	20982790001.25	44017314000.00	335456275.00	-697021000.00	-2.00
VKFYO	604800000.00	54881724.00	30000000.00	-12336092.00	-0.41
VKGYO	7245000000.00	17610595324.00	3450000000.00	7866626355.00	2.00
VKING	1223880000.00	40188424.00	42000000.00	-331263664.00	-8.00
VRGYO	2156600000.00	4873542450.00	820000000.00	-795769200.00	-0.97
YAPRK	6606550000.00	473029984.00	14200000.00	56027647.00	4.00
YATAS	4005623455.05	6484906464.00	149798932.50	200327150.00	1.00
YAYLA	842388750.00	653543981.00	49875000.00	87744765.00	2.00
YBTAS	10690000000.00	1094359570.00	100000.00	162875367.00	1629.00
YEOTK	20661000000.00	2286124180.00	355000000.00	932640114.00	3.00
YESIL	1122300000.00	1020284213.00	645000000.00	-9687531.00	-0.02
YGGYO	14720832000.00	18015733414.00	241920000.00	9346061645.00	39.00
YGYO	2692708917.28	13595239207.00	263216902.96	2982688457.00	11.00
YIGIT	10235030000.00	4494452841.00	300500000.00	746421722.00	2.00
YKBNK	256114594930.88	190967149000.00	8447051284.00	41712046000.00	5.00
YKSLN	1805000000.00	590221224.00	250000000.00	-312244326.00	-1.00
YONGA	1149120000.00	419976624.00	16800000.00	-213135928.00	-13.00
YUNSA	3072000000.00	3177971793.00	480000000.00	201290004.00	0.42
YYAPI	1875528112.04	2610708991.00	321702935.17	1527763569.00	5.00
YYLGD	11652425600.00	8193585426.00	1086980000.00	213861615.00	0.20
ZEDUR	1411980000.00	1671082664.00	174750000.00	320267835.00	2.00
ZOREN	21200000000.00	59749228000.00	5000000000.00	14347996000.00	3.00
ZRGYO	62049656400.00	49521447944.00	4693620000.00	4271906122.00	0.91
